SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,NumMentions,Contains14sub,Contains14
20151118,1822,4,-9.0,-9.60591133004931,10,HK,10,1,0
20151119,1822,4,-9.0,-8.15217391304344,6,HK,6,1,0
20151120,181,4,-9.0,-5.249343832021,10,HK,10,1,0
20151123,181,4,-9.0,-3.53982300884956,4,HK,4,1,0
20151125,180,4,-9.0,-6.29770992366412,10,HK,10,1,0
20151126,180,4,-9.0,-8.5,10,HK,10,1,0
20151127,186,4,-10.0,-4.50336487633703,11,HK,11,1,1
20151130,180,4,-9.0,-6.95187165775401,5,HK,5,1,0
20151202,180,4,-9.0,-5.20231213872833,2,HK,2,1,0
20151204,180,4,-9.0,-8.89328063241106,10,HK,10,1,0
20151207,180,4,-9.0,-3.6923076923077,8,HK,8,1,0
20151208,180,4,-9.0,-10.7692307692308,10,HK,10,1,0
20151209,181,4,-9.0,-1.06666666666666,1,HK,1,1,0
20151210,181,4,-9.0,-3.73626373626374,10,HK,10,1,0
20151211,186,4,-10.0,1.0989010989011,1,HK,1,1,0
20151212,181,4,-9.0,-4.10714285714286,1,HK,1,1,0
20151213,1822,4,-9.0,-3.69127516778524,5,HK,5,1,0
20151214,182,4,-9.5,-2.40295748613678,8,HK,8,1,0
20151216,180,4,-9.0,-0.81632653061225,6,HK,6,1,0
20151217,1821,4,-9.0,-11.5044247787611,8,HK,8,1,0
20151218,1821,4,-9.0,-8.3780880773362,4,HK,4,1,0
20151219,1821,4,-9.0,-8.6538461538462,2,HK,2,1,0
20151220,180,4,-9.0,-3.6923076923077,8,HK,8,1,0
20151221,180,4,-9.0,-7.56972111553785,10,HK,10,1,0
20151223,1821,4,-9.0,-7.86782061369,10,HK,10,1,0
20151224,180,4,-9.0,-4.11392405063291,10,HK,10,1,0
20151228,180,4,-9.0,-3.16455696202532,12,HK,12,1,1
20151229,181,4,-9.0,4.7682119205298,10,HK,10,1,0
20151230,181,4,-9.0,-1.40562248995984,2,HK,2,1,0
20160101,180,4,-9.0,-0.68493150684932,10,HK,10,1,0
20160103,181,4,-9.0,-2.63157894736842,10,HK,10,1,0
20160104,181,4,-9.0,-3.81558028616852,2,HK,2,1,0
20160105,1821,4,-9.0,-7.11902113459399,8,HK,8,1,0
20160106,181,4,-9.0,-3.05498981670061,2,HK,2,1,0
20160107,181,4,-9.0,-1.20772946859903,2,HK,2,1,0
20160108,1821,4,-9.0,-1.33547008547008,10,HK,10,1,0
