SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,Contains14sub,Contains14
20150324,141,3,-6.5,-1.64075993091537,10,SP,1,0
20150324,141,3,-6.5,-6.70391061452514,10,AG,1,0
20150324,141,3,-6.5,-9.30232558139538,4,YM,1,0
20150325,141,3,-6.5,-6.25,4,FR,1,0
20150325,141,3,-6.5,-6.86274509803922,8,YM,1,0
20150325,141,3,-6.5,-3.70370370370371,6,AG,1,0
20150325,141,3,-6.5,-9.44444444444444,10,LE,1,0
20150325,141,3,-6.5,-4.06504065040651,4,SP,1,0
20150326,141,3,-6.5,-6.33484162895928,10,FR,1,0
20150326,141,3,-6.5,-4.42338072669827,8,YM,1,0
20150326,141,3,-6.5,-2.74170274170275,8,SP,1,0
20150326,141,3,-6.5,1.05540897097625,4,LE,1,0
20150326,141,3,-6.5,3.71747211895911,10,AG,1,0
20150327,141,3,-6.5,-4.56905503634476,10,FR,1,0
20150327,141,3,-6.5,2.65604249667995,2,YM,1,0
20150327,141,3,-6.5,-7.38916256157636,10,LE,1,0
20150327,141,3,-6.5,2.44565217391305,10,SP,1,0
20150327,141,3,-6.5,-6.89655172413793,6,AG,1,0
20150328,141,3,-6.5,-3.39805825242718,10,FR,1,0
20150328,141,3,-6.5,-3.72200263504612,8,LE,1,0
20150328,141,3,-6.5,-0.574477686328915,4,YM,1,0
20150328,141,3,-6.5,-0.315955766192731,8,SP,1,0
20150328,141,3,-6.5,-4.70085470085471,10,AG,1,0
20150329,141,3,-6.5,-9.32203389830511,5,AG,1,0
20150329,141,3,-6.5,-5.74162679425837,10,SP,1,0
20150329,141,3,-6.5,0.77922077922078,10,LE,1,0
20150329,1414,3,-6.5,-2.27272727272728,5,YM,1,0
20150329,141,3,-6.5,2.2181146025878,10,FR,1,0
20150330,141,3,-6.5,-1.99004975124378,6,SP,1,0
20150330,141,3,-6.5,-5.36912751677853,10,LE,1,0
20150330,141,3,-6.5,-2.85714285714285,10,FR,1,0
20150330,141,3,-6.5,-5.27306967984934,10,YM,1,0
20150330,141,3,-6.5,-4.43298969072165,1,AG,1,0
20150331,141,3,-6.5,0.96153846153847,10,FR,1,0
20150331,141,3,-6.5,3.48923533778767,1,LE,1,0
20150331,141,3,-6.5,-2.82685512367491,10,AG,1,0
20150331,141,3,-6.5,-0.749063670411985,8,YM,1,0
20150331,141,3,-6.5,0.74074074074074,8,SP,1,0
20150401,141,3,-6.5,-0.581395348837209,8,YM,1,0
20150401,141,3,-6.5,-5.91133004926108,5,SP,1,0
20150401,141,3,-6.5,-2.04918032786885,10,FR,1,0
20150401,141,3,-6.5,0.458715596330275,2,AG,1,0
20150401,141,3,-6.5,-9.77011494252874,2,LE,1,0
20150402,141,3,-6.5,-3.87323943661972,8,FR,1,0
20150402,141,3,-6.5,1.43266475644699,10,AG,1,0
20150402,141,3,-6.5,-0.5008347245409,10,LE,1,0
20150402,141,3,-6.5,-6.89655172413793,10,SP,1,0
20150402,141,3,-6.5,-7.00653214979863,8,YM,1,0
20150403,1411,3,-6.5,-3.91061452513966,2,YM,1,0
20150403,141,3,-6.5,1.20682480233042,2,AG,1,0
20150403,141,3,-6.5,1.45631067961166,6,FR,1,0
20150403,141,3,-6.5,-7.4468085106383,6,SP,1,0
20150403,141,3,-6.5,-11.1842105263158,2,LE,1,0
20150404,141,3,-6.5,0.19417475728155,6,SP,1,0
20150404,141,3,-6.5,-1.22302158273381,3,LE,1,0
20150404,141,3,-6.5,-3.78188214599824,8,YM,1,0
20150404,141,3,-6.5,-5.96026490066225,4,FR,1,0
20150404,141,3,-6.5,-2.4390243902439,2,AG,1,0
20150405,141,3,-6.5,-7.79661016949153,1,YM,1,0
